"Compra","Venda","Mult","Dif","Tend"
"244,5","247,0","1","2,5","0"
"243,5","244,0","1","0,5","-0"
"244,0","247,0","1","3,0","1"
"242,5","247,0","1","4,5","-0"
"247,0","252,5","1","5,5","2"
"252,5","253,0","3","1,5","2"
"251,0","253,0","1","2,0","-0"
"253,0","256,5","3","10,5","1"
"251,5","256,5","1","5,0","-0"
"256,5","232,0","3","-73,5","2"
"256,0","232,0","1","-24,0","-0"
"255,0","232,0","1","-23,0","-0"
"252,0","254,0","1","2,0","-0"
"254,0","232,0","1","-22,0","1"
"253,5","232,0","1","-21,5","-0"
"251,0","232,0","1","-19,0","-0"
"248,5","249,0","1","0,5","-0"
"249,0","232,0","1","-17,0","1"
"247,5","248,0","1","0,5","-0"
"248,0","232,0","1","-16,0","1"
"243,0","245,0","1","2,0","-1"
"245,0","246,5","1","1,5","1"
"243,5","244,0","1","0,5","-0"
"242,5","244,0","1","1,5","-0"
"244,0","246,5","1","2,5","1"
"242,0","243,0","1","1,0","-0"
"239,0","240,0","1","1,0","-0"
"238,5","240,0","1","1,5","-0"
"240,0","242,0","1","2,0","1"
"242,0","243,0","1","1,0","1"
"240,0","243,0","1","3,0","-0"
"240,0","243,0","1","3,0","0"
"237,0","238,5","1","1,5","-0"
"235,5","236,0","1","0,5","-0"
"236,0","237,0","1","1,0","1"
"237,0","238,5","1","1,5","1"
"238,5","243,0","3","13,5","1"
"243,0","246,5","5","17,5","2"
"243,0","246,5","1","3,5","0"
"242,5","246,5","1","4,0","-0"
"241,5","246,5","1","5,0","-0"
"246,5","232,0","1","-14,5","2"
"245,0","232,0","1","-13,0","-0"
"244,0","244,5","1","0,5","-0"
"244,5","232,0","1","-12,5","1"
"244,0","232,0","1","-12,0","-0"
"244,0","232,0","1","-12,0","0"
"243,5","232,0","1","-11,5","-0"
"243,5","232,0","1","-11,5","0"
"238,5","239,0","1","0,5","-1"
"237,5","239,0","1","1,5","-0"
"239,0","240,5","1","1,5","1"
"234,5","236,0","1","1,5","-1"
"233,0","234,0","1","1,0","-0"
"234,0","234,5","1","0,5","1"
"234,5","236,0","1","1,5","1"
"234,5","236,0","1","1,5","0"
"232,5","236,0","1","3,5","-0"
"236,0","239,0","1","3,0","1"
"234,5","239,0","1","4,5","-0"
"234,0","239,0","1","5,0","-0"
"239,0","240,5","1","1,5","2"
"237,0","240,5","1","3,5","-0"
"240,5","232,0","1","-8,5","1"
"237,5","232,0","1","-5,5","-0"
"237,5","232,0","1","-5,5","0"
"237,0","232,0","1","-5,0","-0"
"236,5","232,0","1","-4,5","-0"
"234,5","235,5","1","1,0","-0"
"235,5","236,5","1","1,0","1"
"232,5","234,5","1","2,0","-0"
"234,5","236,5","1","2,0","1"
"230,5","232,5","1","2,0","-1"
"232,5","233,5","1","1,0","1"
"231,5","232,0","1","0,5","-0"
"232,0","233,5","1","1,5","1"
"233,5","236,5","1","3,0","1"
"236,5","232,0","1","-4,5","1"
"231,5","233,5","1","2,0","-1"
"233,5","232,0","1","-1,5","1"
"233,0","232,0","1","-1,0","-0"
"229,5","230,5","1","1,0","-0"
"230,5","231,5","1","1,0","1"
"231,5","233,0","1","1,5","1"
"227,5","229,5","1","2,0","-1"
"226,5","229,5","1","3,0","-0"
"229,5","230,0","1","0,5","1"
"227,5","228,5","1","1,0","-0"
"228,5","230,0","1","1,5","1"
"230,0","230,5","1","0,5","1"
"230,0","230,5","1","0,5","0"
"229,5","230,5","1","1,0","-0"
"230,5","233,0","1","2,5","1"
"230,5","233,0","1","2,5","0"
"229,5","233,0","1","3,5","-0"
"229,5","233,0","1","3,5","0"
"233,0","232,0","3","-3,0","1"
"232,0","232,0","1","0,0","-0"
"231,5","232,0","1","0,5","-0"
"232,0","232,0","3","0,0","1"
"","","-162.5","",""
