"Compra","Venda","Mult","Dif","Tend"
"243,5","244,5","1","1,0","0"
"242,5","243,5","4","4,0","-1"
"242,0","242,5","4","2,0","-1.5"
"252,0","255,0","4","12,0","-1"
"251,0","252,0","6","6,0","-3"
"248,5","251,0","8","20,0","-2.5"
"247,5","248,5","10","10,0","-2.5"
"243,0","247,5","10","45,0","-1.5"
"242,5","243,0","10","5,0","-5"
"242,0","242,5","12","6,0","-1"
"239,0","242,0","12","36,0","-2"
"238,5","239,0","14","7,0","-3"
"237,0","238,5","16","24,0","-0.5"
"235,5","237,0","4","6,0","-3"
"234,5","235,5","6","6,0","-1.5"
"233,0","234,5","6","9,0","-4.5"
"232,5","233,0","8","4,0","-1.5"
"230,5","232,5","4","8,0","-2"
"234,0","234,5","4","2,0","-1.5"
"232,5","234,0","6","9,0","-0.5"
"230,5","232,5","8","16,0","-3"
"229,5","230,5","8","8,0","-4"
"227,5","229,5","6","12,0","-3.5"
"226,5","227,5","4","4,0","-4"
"232,0","226,5","6","-33,0","-1"
"","","229","",""
