"Compra","Venda","Mult","Dif","Tend"
"223,5","227,0","1","3,5","0"
"238,0","223,5","3","-43,5","-1"
"238,0","224,0","1","-14,0","0"
"248,5","238,5","1","-10,0","0"
"250,5","252,5","1","2,0","0"
"261,5","250,5","3","-33,0","-1"
"252,0","254,0","1","2,0","0"
"256,5","260,0","1","3,5","0"
"256,5","259,0","3","7,5","-1"
"256,5","261,0","1","4,5","0"
"256,5","260,5","3","12,0","-1"
"252,5","256,5","5","20,0","-2"
"255,0","258,5","3","10,5","-1"
"255,0","259,0","1","4,0","0"
"252,5","255,0","3","7,5","-1"
"255,5","258,5","1","3,0","0"
"255,5","258,0","3","7,5","-1"
"259,0","262,5","1","3,5","0"
"255,5","259,0","3","10,5","-1"
"252,5","255,5","5","15,0","-2"
"252,5","256,0","3","10,5","-1"
"249,0","252,5","5","17,5","-2"
"249,0","253,5","3","13,5","-1"
"249,0","252,5","5","17,5","-2"
"249,0","252,5","1","3,5","0"
"249,0","252,5","1","3,5","0"
"249,0","252,5","1","3,5","0"
"249,0","252,0","3","9,0","-1"
"262,0","249,0","5","-65,0","-2"
"262,0","250,5","3","-34,5","-1"
"252,0","255,0","1","3,0","0"
"252,0","255,0","1","3,0","0"
"252,0","254,0","1","2,0","0"
"250,0","252,0","3","6,0","-1"
"262,0","250,0","5","-60,0","-2"
"245,5","255,5","3","30,0","-1"
"254,0","256,5","1","2,5","0"
"245,5","254,0","3","25,5","-1"
"245,5","258,5","1","13,0","0"
"260,0","262,0","1","2,0","0"
"257,5","260,0","3","7,5","-1"
"257,5","263,5","1","6,0","0"
"245,5","257,5","3","36,0","-1"
"243,0","245,5","5","12,5","-2"
"245,5","250,0","3","13,5","-1"
"245,5","251,0","1","5,5","0"
"245,5","250,5","3","15,0","-1"
"245,5","251,5","1","6,0","0"
"245,5","251,5","1","6,0","0"
"243,0","245,5","3","7,5","-1"
"241,0","243,0","5","10,0","-2"
"241,0","243,5","3","7,5","-1"
"241,0","244,0","1","3,0","0"
"243,0","245,0","1","2,0","0"
"243,0","247,0","1","4,0","0"
"243,0","247,0","1","4,0","0"
"241,0","243,0","3","6,0","-1"
"239,0","241,0","5","10,0","-2"
"239,0","241,0","1","2,0","0"
"237,5","240,0","3","7,5","-1"
"241,0","239,0","5","-10,0","-2"
"241,0","237,5","7","-24,5","-3"
"241,0","238,0","5","-15,0","-2"
"241,0","241,0","3","0,0","-1"
"","","144","",""
