"Compra","Venda","Mult","Dif","Tend"
"227,0","230,0","1","3,0","0"
"230,0","234,0","4","16,0","3"
"234,0","236,0","6","12,0","4"
"233,0","234,0","4","4,0","-1"
"229,0","234,0","1","5,0","-4"
"234,0","236,0","4","8,0","5"
"224,0","226,0","1","2,0","-10"
"226,0","228,0","4","8,0","2"
"228,0","236,0","6","48,0","2"
"236,0","239,0","8","24,0","8"
"239,0","241,0","10","20,0","3"
"241,0","240,0","12","-12,0","2"
"238,0","239,0","12","12,0","-3"
"236,0","238,0","9","18,0","-2"
"238,0","239,0","10","10,0","2"
"239,0","241,0","12","24,0","1"
"238,0","239,0","10","10,0","-1"
"239,0","241,0","6","12,0","1"
"241,0","240,0","4","-4,0","2"
"240,0","240,0","1","0,0","-1"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"","","220","",""
