"Compra","Venda","Mult","Dif","Tend"
"224,0","227,0","1","3,0","0"
"229,0","230,0","1","1,0","1"
"233,0","234,0","1","1,0","1"
"229,0","233,0","1","4,0","-0"
"224,0","229,0","1","5,0","-1"
"224,0","234,0","1","10,0","2"
"240,0","224,0","1","-16,0","-2"
"240,0","226,0","1","-14,0","1"
"240,0","228,0","1","-12,0","1"
"236,0","236,0","1","0,0","2"
"238,0","239,0","1","1,0","1"
"236,0","238,0","1","2,0","-0"
"236,0","236,0","1","0,0","-0"
"236,0","236,0","1","0,0","0"
"235,0","236,0","1","1,0","0"
"230,0","235,0","4","20,0","-0"
"240,0","230,0","6","-60,0","-1"
"","","-54","",""
