"Compra","Venda","Mult","Dif","Tend"
"227,0","230,0","1","3,0","0"
"230,0","234,0","3","12,0","1"
"234,0","224,0","5","-50,0","2"
"233,0","236,0","3","9,0","1"
"229,0","234,0","1","5,0","0"
"234,0","224,0","3","-30,0","1"
"224,0","226,0","1","2,0","0"
"226,0","228,0","3","6,0","1"
"228,0","236,0","5","40,0","2"
"236,0","239,0","7","21,0","3"
"239,0","241,0","9","18,0","4"
"241,0","230,0","11","-121,0","5"
"238,0","241,0","9","27,0","4"
"236,0","238,0","7","14,0","3"
"236,0","238,0","1","2,0","0"
"236,0","238,0","1","2,0","0"
"236,0","238,0","1","2,0","0"
"234,0","236,0","1","2,0","0"
"235,0","238,0","1","3,0","0"
"232,0","234,0","1","2,0","0"
"231,0","233,0","1","2,0","0"
"232,0","234,0","3","6,0","1"
"233,0","235,0","5","10,0","2"
"234,0","236,0","3","6,0","1"
"235,0","238,0","5","15,0","2"
"234,0","236,0","3","6,0","1"
"236,0","238,0","7","14,0","3"
"238,0","241,0","9","27,0","4"
"239,0","241,0","11","22,0","5"
"238,0","241,0","9","27,0","4"
"241,0","240,0","3","-3,0","1"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"240,0","240,0","1","0,0","0"
"","","101","",""
