"Compra","Venda","Mult","Dif","Tend"
"322,5","324,0","1","1,5","0"
"315,0","317,5","1","2,5","-1"
"309,5","313,5","1","4,0","-1"
"309,5","313,5","1","4,0","0"
"308,5","313,5","1","5,0","-0"
"306,5","313,5","1","7,0","-0"
"313,5","317,5","1","4,0","2"
"317,5","324,0","1","6,5","1"
"310,0","313,0","1","3,0","-1"
"313,0","324,0","1","11,0","1"
"324,0","325,0","3","3,0","3"
"320,5","323,0","1","2,5","-0"
"323,0","325,0","3","6,0","1"
"325,0","327,5","5","12,5","1"
"327,5","328,5","7","7,0","1"
"328,5","286,0","9","-382,5","1"
"326,0","327,0","7","7,0","-0"
"319,5","323,5","5","20,0","-1"
"317,5","318,0","3","1,5","-0"
"309,0","309,5","1","0,5","-2"
"309,5","312,5","3","9,0","1"
"307,0","312,5","1","5,5","-0"
"306,0","312,5","1","6,5","-0"
"312,5","318,0","1","5,5","2"
"318,0","323,5","3","16,5","2"
"316,5","323,5","1","7,0","-0"
"314,5","323,5","1","9,0","-0"
"323,5","326,0","1","2,5","3"
"321,5","326,0","1","4,5","-0"
"319,5","321,0","1","1,5","-0"
"312,0","314,0","1","2,0","-1"
"314,0","318,0","1","4,0","1"
"313,0","318,0","1","5,0","-0"
"318,0","321,0","1","3,0","2"
"315,0","321,0","1","6,0","-0"
"314,0","321,0","1","7,0","-0"
"321,0","326,0","1","5,0","2"
"326,0","327,0","1","1,0","2"
"327,0","286,0","1","-41,0","1"
"318,5","286,0","1","-32,5","-2"
"315,5","286,0","1","-29,5","-0"
"313,0","315,0","1","2,0","-0"
"312,5","313,0","1","0,5","-0"
"313,0","315,0","1","2,0","1"
"315,0","286,0","1","-29,0","1"
"309,5","311,5","1","2,0","-1"
"311,5","286,0","1","-25,5","1"
"309,0","311,0","1","2,0","-0"
"305,5","308,5","1","3,0","-0"
"308,5","311,0","1","2,5","1"
"305,5","307,5","1","2,0","-0"
"307,5","308,5","1","1,0","1"
"308,5","311,0","1","2,5","1"
"311,0","286,0","1","-25,0","1"
"305,0","286,0","1","-19,0","-1"
"300,5","301,0","1","0,5","-1"
"299,5","300,5","1","1,0","-0"
"300,5","301,0","1","0,5","1"
"300,5","301,0","1","0,5","0"
"298,5","299,0","1","0,5","-0"
"297,0","299,0","1","2,0","-0"
"299,0","301,0","1","2,0","1"
"296,5","298,5","1","2,0","-0"
"298,5","301,0","1","2,5","1"
"301,0","286,0","1","-15,0","1"
"298,5","299,0","1","0,5","-0"
"299,0","300,0","1","1,0","1"
"298,0","300,0","1","2,0","-0"
"297,5","300,0","1","2,5","-0"
"294,0","295,0","1","1,0","-0"
"295,0","296,0","1","1,0","1"
"296,0","300,0","1","4,0","1"
"300,0","301,0","1","1,0","1"
"301,0","286,0","3","-45,0","1"
"298,0","286,0","1","-12,0","-0"
"294,5","295,5","1","1,0","-0"
"295,5","286,0","1","-9,5","1"
"292,5","286,0","1","-6,5","-0"
"291,5","286,0","1","-5,5","-0"
"289,0","291,5","1","2,5","-0"
"288,5","291,5","1","3,0","-0"
"291,5","286,0","1","-5,5","1"
"","","-423.5","",""
