"Compra","Venda","Mult","Dif","Tend"
"304,0","273,5","1","-30,5","0"
"276,0","276,0","1","0,0","1"
"276,0","276,0","1","0,0","0"
"304,0","276,0","1","-28,0","0"
"304,0","281,0","1","-23,0","2"
"304,0","283,0","1","-21,0","1"
"286,5","289,0","1","2,5","2"
"289,5","289,5","1","0,0","1"
"286,5","289,5","1","3,0","0"
"286,0","286,5","3","1,5","-0"
"288,0","288,5","1","0,5","1"
"291,0","292,5","1","1,5","1"
"291,0","294,0","1","3,0","1"
"291,0","291,0","1","0,0","-0"
"291,0","291,0","1","0,0","0"
"291,0","291,5","1","0,5","1"
"289,0","291,0","1","2,0","-0"
"288,0","289,0","3","3,0","-0"
"286,0","288,0","5","10,0","-0"
"304,0","286,0","7","-126,0","-0"
"304,0","287,5","5","-82,5","1"
"304,0","290,0","3","-42,0","1"
"293,0","293,5","1","0,5","1"
"304,0","293,0","3","-33,0","-0"
"293,5","295,0","1","1,5","1"
"304,0","293,5","3","-31,5","-0"
"294,0","294,0","1","0,0","1"
"295,5","296,5","1","1,0","1"
"295,5","295,5","1","0,0","-0"
"294,0","295,5","1","1,5","0"
"296,0","296,5","1","0,5","1"
"294,0","296,0","1","2,0","-0"
"304,0","294,0","3","-30,0","-0"
"304,0","295,5","1","-8,5","1"
"304,0","300,0","1","-4,0","2"
"","","-425.5","",""
