"Compra","Venda","Mult","Dif","Tend"
"273,5","276,0","1","2,5","0"
"276,0","281,0","4","20,0","2.5"
"276,0","281,0","1","5,0","0"
"276,0","281,0","1","5,0","0"
"281,0","283,0","4","8,0","5"
"283,0","289,0","6","36,0","2"
"289,0","289,5","8","4,0","6"
"289,5","292,5","10","30,0","0.5"
"289,5","292,5","1","3,0","0"
"286,5","288,5","1","2,0","-3"
"288,5","292,5","1","4,0","2"
"292,5","294,0","4","6,0","4"
"294,0","295,0","6","6,0","1.5"
"291,0","291,5","6","3,0","-3"
"291,0","291,5","1","0,5","0"
"291,5","293,5","4","8,0","0.5"
"291,0","293,5","1","2,5","-0.5"
"289,0","290,0","1","1,0","-2"
"288,0","290,0","1","2,0","-1"
"286,0","287,5","1","1,5","-2"
"287,5","290,0","1","2,5","1.5"
"290,0","293,5","1","3,5","2.5"
"293,5","295,0","1","1,5","3.5"
"293,0","295,0","1","2,0","-0.5"
"295,0","296,5","1","1,5","2"
"293,5","294,0","1","0,5","-1.5"
"294,0","296,5","1","2,5","0.5"
"296,5","300,0","4","14,0","2.5"
"295,5","296,5","1","1,0","-1"
"295,5","296,5","1","1,0","0"
"296,5","300,0","4","14,0","1"
"296,0","300,0","1","4,0","-0.5"
"294,0","295,5","1","1,5","-2"
"295,5","300,0","1","4,5","1.5"
"300,0","304,0","4","16,0","4.5"
"304,0","305,0","6","6,0","4"
"302,0","302,5","5","2,5","-2"
"302,5","303,5","6","6,0","0.5"
"302,5","303,5","1","1,0","0"
"303,5","305,0","4","6,0","1"
"302,0","305,0","1","3,0","-1.5"
"300,5","301,0","1","0,5","-1.5"
"301,0","305,0","1","4,0","0.5"
"300,5","301,0","1","0,5","-0.5"
"301,0","305,0","1","4,0","0.5"
"300,5","301,0","1","0,5","-0.5"
"299,0","300,5","1","1,5","-1.5"
"300,5","301,0","1","0,5","1.5"
"296,0","297,0","1","1,0","-4.5"
"297,0","300,0","1","3,0","1"
"294,5","296,5","1","2,0","-2.5"
"294,5","296,5","1","2,0","0"
"296,5","300,0","4","14,0","2"
"296,0","300,0","1","4,0","-0.5"
"294,5","296,0","1","1,5","-1.5"
"296,0","300,0","1","4,0","1.5"
"300,0","300,5","4","2,0","4"
"298,5","299,0","1","0,5","-1.5"
"299,0","300,0","4","4,0","0.5"
"297,0","297,5","1","0,5","-2"
"295,0","295,5","1","0,5","-2"
"295,0","295,5","1","0,5","0"
"295,5","296,5","4","4,0","0.5"
"296,5","297,5","6","6,0","1"
"297,5","298,0","8","4,0","1"
"298,0","300,0","4","8,0","1"
"300,0","300,5","6","3,0","2"
"300,0","300,5","1","0,5","0"
"300,0","300,5","1","0,5","0"
"299,5","300,0","1","0,5","-0.5"
"298,0","298,5","1","0,5","-1.5"
"298,5","300,0","1","1,5","0.5"
"300,0","300,5","1","0,5","1.5"
"297,5","298,0","1","0,5","-2.5"
"297,5","298,0","1","0,5","0"
"298,0","300,5","4","10,0","1"
"300,5","301,0","6","3,0","2.5"
"301,0","305,0","8","32,0","0.5"
"305,0","305,5","10","5,0","4"
"304,0","304,5","8","4,0","-1"
"304,5","305,5","10","10,0","0.5"
"305,5","306,5","12","12,0","1"
"304,0","304,5","11","5,5","-1.5"
"304,5","306,5","12","24,0","0.5"
"306,5","307,0","14","7,0","2"
"306,0","307,0","12","12,0","-0.5"
"307,0","309,0","14","28,0","1"
"307,0","309,0","1","2,0","0"
"306,5","309,0","1","2,5","-0.5"
"309,0","309,5","1","0,5","2.5"
"308,0","309,0","1","1,0","-1"
"308,0","309,0","1","1,0","0"
"308,0","309,0","1","1,0","0"
"309,0","309,5","4","2,0","1"
"307,0","308,0","1","1,0","-2"
"308,0","309,5","4","6,0","1"
"309,5","307,0","6","-15,0","1.5"
"309,5","307,0","1","-2,5","0"
"309,0","307,0","1","-2,0","-0.5"
"307,0","307,0","1","0,0","-2"
"","","475.5","",""
