"Compra","Venda","Mult","Dif","Tend"
"273,5","276,0","1","2,5","0"
"276,0","281,0","3","15,0","1"
"276,0","281,0","1","5,0","0"
"276,0","281,0","1","5,0","0"
"281,0","283,0","3","6,0","1"
"283,0","289,0","5","30,0","2"
"289,0","292,5","7","24,5","3"
"289,5","292,5","9","27,0","4"
"289,5","292,5","1","3,0","0"
"288,5","292,5","1","4,0","0"
"292,5","295,0","3","7,5","1"
"294,0","296,5","5","12,5","2"
"291,0","293,5","3","7,5","1"
"291,0","293,5","1","2,5","0"
"291,5","293,5","3","6,0","1"
"291,0","293,5","1","2,5","0"
"293,5","296,5","1","3,0","0"
"295,0","300,0","1","5,0","0"
"294,0","296,5","1","2,5","0"
"296,5","300,0","3","10,5","1"
"295,5","300,0","1","4,5","0"
"295,5","300,0","1","4,5","0"
"296,5","300,0","3","10,5","1"
"296,0","300,0","1","4,0","0"
"295,5","300,0","1","4,5","0"
"300,0","304,0","3","12,0","1"
"304,0","306,5","5","12,5","2"
"302,0","305,0","3","9,0","1"
"302,5","305,0","5","12,5","2"
"302,5","305,0","1","2,5","0"
"303,5","305,5","3","6,0","1"
"302,0","305,0","1","3,0","0"
"301,0","305,0","1","4,0","0"
"301,0","305,0","1","4,0","0"
"294,5","296,5","1","2,0","0"
"296,5","300,0","3","10,5","1"
"296,0","300,0","1","4,0","0"
"296,0","300,0","1","4,0","0"
"300,0","305,0","3","15,0","1"
"298,5","300,5","1","2,0","0"
"299,0","301,0","3","6,0","1"
"297,0","300,0","1","3,0","0"
"295,0","297,5","1","2,5","0"
"295,5","297,5","3","6,0","1"
"297,5","300,0","7","17,5","3"
"300,0","305,0","5","25,0","2"
"301,0","305,0","7","28,0","3"
"305,0","307,0","9","18,0","4"
"304,0","306,5","7","17,5","3"
"304,5","306,5","9","18,0","4"
"306,5","309,0","13","32,5","6"
"306,0","309,0","11","33,0","5"
"307,0","309,0","13","26,0","6"
"309,0","308,0","1","-1,0","0"
"308,0","308,0","1","0,0","0"
"","","544.5","",""
