"Compra","Venda","Mult","Dif","Tend"
"290,0","292,0","1","2,0","0"
"290,0","292,0","1","2,0","0"
"301,0","290,0","3","-33,0","-1"
"306,0","295,0","1","-11,0","0"
"302,0","306,0","1","4,0","0"
"302,0","304,5","3","7,5","-1"
"298,0","302,0","5","20,0","-2"
"298,0","304,0","3","18,0","-1"
"293,0","298,0","5","25,0","-2"
"290,0","293,0","7","21,0","-3"
"290,0","293,0","1","3,0","0"
"286,0","290,0","3","12,0","-1"
"284,0","286,0","5","10,0","-2"
"281,5","284,0","7","17,5","-3"
"278,5","281,5","9","27,0","-4"
"278,5","281,0","11","27,5","-5"
"271,5","280,0","13","110,5","-6"
"271,5","278,5","13","91,0","-6"
"271,5","280,5","11","99,0","-5"
"269,0","271,5","15","37,5","-7"
"269,0","272,0","13","39,0","-6"
"263,5","269,0","15","82,5","-7"
"261,5","263,5","17","34,0","-8"
"257,5","261,5","19","76,0","-9"
"253,5","257,5","21","84,0","-10"
"253,5","257,0","23","80,5","-11"
"249,0","253,5","27","121,5","-13"
"249,0","252,0","29","87,0","-14"
"245,5","249,0","29","101,5","-14"
"242,0","245,5","31","108,5","-15"
"239,0","242,0","3","9,0","-1"
"237,0","239,0","5","10,0","-2"
"234,5","238,5","7","28,0","-3"
"240,5","242,5","5","10,0","-2"
"240,5","243,5","3","9,0","-1"
"240,5","244,5","1","4,0","0"
"240,5","243,5","3","9,0","-1"
"237,0","240,5","5","17,5","-2"
"237,0","242,0","3","15,0","-1"
"237,0","242,0","1","5,0","0"
"237,0","242,0","1","5,0","0"
"242,5","245,0","1","2,5","0"
"237,0","242,5","3","16,5","-1"
"234,5","237,0","5","12,5","-2"
"237,5","239,5","3","6,0","-1"
"234,5","239,0","5","22,5","-2"
"234,5","239,0","1","4,5","0"
"241,0","244,0","1","3,0","0"
"237,5","242,5","3","15,0","-1"
"237,5","241,0","5","17,5","-2"
"234,5","237,5","7","21,0","-3"
"234,5","237,5","1","3,0","0"
"232,0","234,5","3","7,5","-1"
"232,0","236,0","1","4,0","0"
"229,0","232,0","3","9,0","-1"
"228,0","230,5","5","12,5","-2"
"229,0","232,0","3","9,0","-1"
"229,0","232,0","1","3,0","0"
"228,0","230,5","3","7,5","-1"
"226,0","229,0","5","15,0","-2"
"226,0","229,5","3","10,5","-1"
"226,0","229,5","1","3,5","0"
"226,0","228,0","3","6,0","-1"
"236,0","226,0","5","-50,0","-2"
"235,5","230,0","3","-16,5","-1"
"235,5","232,0","1","-3,5","0"
"235,5","232,0","1","-3,5","0"
"235,5","232,5","1","-3,0","0"
"231,0","233,0","1","2,0","0"
"235,5","231,0","3","-13,5","-1"
"235,5","231,0","1","-4,5","0"
"235,5","231,0","1","-4,5","0"
"","","1541","",""
