"Compra","Venda","Mult","Dif","Tend"
"299,0","256,5","1","-42,5","0"
"272,0","273,0","4","4,0","-3.5"
"271,5","272,0","6","3,0","-1"
"299,0","271,5","8","-220,0","-0.5"
"287,0","289,0","4","8,0","-4"
"283,5","287,0","4","14,0","-5.5"
"281,5","283,5","6","12,0","-3.5"
"290,0","292,5","12","30,0","9"
"286,0","290,0","6","24,0","-2.5"
"291,0","292,5","6","9,0","2.5"
"286,0","291,0","4","20,0","-6"
"281,5","286,0","6","27,0","-5"
"281,5","286,5","4","20,0","0.5"
"279,0","281,5","6","15,0","-5"
"278,5","279,0","8","4,0","-2.5"
"278,5","280,5","7","14,0","1.5"
"280,5","283,5","6","18,0","3"
"278,5","280,5","6","12,0","-4"
"299,0","278,5","8","-164,0","-2"
"299,0","283,0","10","-160,0","4.5"
"299,0","285,0","4","-56,0","-1"
"","","-408.5","",""
